  -4.9693711e+00  -1.7205840e+00
  -4.6364539e+00  -1.6466494e+00
  -4.3390066e+00  -1.4650705e+00
  -3.9550021e+00  -1.3242762e+00
  -3.9472842e+00  -1.3275305e+00
  -3.6936938e+00  -1.2807564e+00
  -3.2996777e+00  -1.1330055e+00
  -3.0200125e+00  -1.0075819e+00
  -2.9855855e+00  -1.0232231e+00
  -2.6018274e+00  -7.8488845e-01
  -2.2327555e+00  -8.2738516e-01
  -2.0331124e+00  -6.7823489e-01
  -1.8480891e+00  -7.1949904e-01
  -1.7331400e+00  -4.9881150e+00
  -1.6486360e+00  -4.6341748e-01
  -1.6196395e+00  -4.5510306e+00
  -1.3913941e+00  -4.3115191e+00
  -1.3386901e+00  -3.4663319e-01
  -1.2793486e+00  -3.9856355e+00
  -1.2765484e+00  -3.9920198e+00
  -1.1696836e+00  -3.7177588e+00
  -1.0467138e+00  -2.9393812e-01
  -1.0225546e+00  -3.2638167e+00
  -1.0206583e+00  -3.2046936e-01
  -1.0006947e+00  -2.9441229e+00
  -9.7162733e-01  -2.9815324e+00
  -9.4559244e-01  -2.6484190e+00
  -7.8614233e-01  -2.2642228e+00
  -7.3473789e-01  -2.8072629e-01
  -7.0803493e-01  -1.9333892e+00
  -6.1886778e-01  -1.9937082e+00
  -5.3895557e-01  -1.8032930e+00
  -4.1494044e-01  -1.2773155e+00
  -3.2194115e-01  -9.9042959e-01
  -2.8070622e-01  -9.9599548e-01
  -2.5875377e-01  -1.3103746e-01
  -2.5269539e-01  -6.0107469e-01
  -6.1355735e-02  -3.5457544e-01
  -5.3250831e-02  -4.7481996e-02
  -3.1445581e-03  -3.1113548e-02
   1.4359013e-02  -3.0945278e-02
   5.3140784e-02  -8.9935070e-02
   5.5757832e-02   2.3932768e-01
   1.4918596e-01   6.4529654e-01
   3.1620724e-01   1.0466585e+00
   3.3736613e-01   9.4925509e-01
   3.4139062e-01   7.0705175e-02
   4.4067215e-01   1.4187251e+00
   5.2354913e-01   1.6193734e+00
   5.7594198e-01   1.9526953e+00
   5.9200448e-01   2.0078914e+00
   6.8517909e-01   1.7860215e-01
   7.1329420e-01   2.3195407e+00
   8.9046136e-01   2.7082131e+00
   9.8586511e-01   3.3007394e+00
   1.0059805e+00   3.4030904e-01
   1.0154802e+00   3.0547791e+00
   1.0423336e+00   3.1085816e+00
   1.0566127e+00   3.3211616e-01
   1.2722729e+00   3.6593125e+00
   1.3059485e+00   3.9606480e+00
   1.3269400e+00   4.7490938e-01
   1.3674347e+00   3.9812503e+00
   1.4397540e+00   4.4398512e+00
   1.5779566e+00   4.7013733e+00
   1.6276065e+00   5.5114491e-01
   1.9795188e+00   6.8371027e-01
   2.0678226e+00   6.6170900e-01
   2.3386683e+00   7.6965844e-01
   2.5943516e+00   9.4497227e-01
   2.9854021e+00   9.3475013e-01
   3.0381794e+00   1.0698537e+00
   3.3669012e+00   1.0478090e+00
   3.6122130e+00   1.2167304e+00
   4.0582562e+00   1.3656477e+00
   4.0800397e+00   1.2586805e+00
   4.3472853e+00   1.5095492e+00
   4.6384725e+00   1.6128718e+00
   4.9063970e+00   1.7058919e+00
   4.9884392e+00   1.6980403e+00
